 Asset , Portfolio , Date , Currency , Commitment ,CC Y1,CC Y2,CC Y3+,Bow Factor,Growth Rate,Yield,Life,,,,,,,
Elevation Capital Management,Quantum Growth Portfolio,21/04/2023,GBP,400000.00,29.00%,38.00%,50.00%,7.00,13.00%,5.00%,9.00,,,,,,,
Crestline Partners,Quantum Growth Portfolio,17/03/2023,GBP,210000.00,27.00%,39.00%,41.00%,2.00,8.00%,4.00%,9.00,,,,,,,
Titan Investment Fund,Quantum Growth Portfolio,16/03/2023,GBP,5000000.00,28.00%,38.00%,55.00%,6.00,13.00%,4.00%,11.00,,,,,,,
Catalyst Private Equity,Quantum Growth Portfolio,06/03/2023,GBP,300000.00,25.00%,31.00%,46.00%,1.00,11.00%,3.00%,5.00,,,,,,,
Odyssey Capital Ventures,Quantum Growth Portfolio,10/02/2023,GBP,350000.00,26.00%,36.00%,52.00%,2.00,6.00%,4.00%,12.00,,,,,,,
Endeavor Growth Fund,Ascendant Equity Portfolio,30/12/2022,GBP,5000000.00,21.00%,38.00%,46.00%,8.00,11.00%,5.00%,12.00,,,,,,,
Landmark Equity Partners,Ascendant Equity Portfolio,14/12/2022,GBP,1500000.00,29.00%,39.00%,59.00%,5.00,6.00%,3.00%,10.00,,,,,,,
Meridian Capital Group,Ascendant Equity Portfolio,05/12/2022,GBP,2000000.00,27.00%,33.00%,48.00%,3.00,13.00%,3.00%,6.00,,,,,,,
Paramount Equity Holdings,Ascendant Equity Portfolio,01/11/2022,GBP,1300000.00,27.00%,34.00%,47.00%,6.00,12.00%,5.00%,13.00,,,,,,,
NorthStar Investment Fund,Ascendant Equity Portfolio,03/10/2022,GBP,2500000.00,26.00%,38.00%,55.00%,4.00,11.00%,5.00%,12.00,,,,,,,
Apex Growth Partners,Pinnacle Capital Portfolio,12/07/2022,GBP,5000000.00,27.00%,31.00%,50.00%,7.00,6.00%,5.00%,14.00,,,,,,,
Liberty Capital Ventures,Pinnacle Capital Portfolio,01/07/2022,GBP,5000000.00,27.00%,35.00%,45.00%,2.00,11.00%,6.00%,13.00,,,,,,,
Peak Equity Management,Pinnacle Capital Portfolio,29/04/2022,GBP,2500000.00,22.00%,38.00%,55.00%,9.00,14.00%,5.00%,14.00,,,,,,,
Phoenix Investment Group,Pinnacle Capital Portfolio,13/04/2022,GBP,5000000.00,23.00%,33.00%,45.00%,2.00,10.00%,5.00%,9.00,,,,,,,
Blue Ridge Capital,Pinnacle Capital Portfolio,24/03/2022,GBP,15000000.00,26.00%,34.00%,56.00%,6.00,13.00%,5.00%,12.00,,,,,,,
Ascend Equity Partners,Pinnacle Capital Portfolio,17/03/2022,GBP,20000000.00,22.00%,38.00%,51.00%,3.00,6.00%,7.00%,12.00,,,,,,,
Heritage Growth Fund,Pinnacle Capital Portfolio,08/03/2022,GBP,5000000.00,27.00%,36.00%,55.00%,7.00,9.00%,4.00%,9.00,,,,,,,
Orion Capital Ventures,Pinnacle Capital Portfolio,28/02/2022,GBP,2000000.00,28.00%,33.00%,55.00%,8.00,14.00%,6.00%,13.00,,,,,,,
Equinox Private Equity,Pinnacle Capital Portfolio,03/12/2021,GBP,1600000.00,25.00%,33.00%,49.00%,8.00,8.00%,7.00%,14.00,,,,,,,
Pathfinder Capital Group,Pinnacle Capital Portfolio,28/07/2021,GBP,3000000.00,21.00%,37.00%,46.00%,7.00,9.00%,5.00%,5.00,,,,,,,
Pinnacle Investment Fund,Vanguard Growth Portfolio,05/07/2021,GBP,6000000.00,20.00%,35.00%,57.00%,2.00,8.00%,6.00%,11.00,,,,,,,
Integrity Equity Partners,Vanguard Growth Portfolio,29/06/2021,GBP,5000000.00,26.00%,32.00%,58.00%,2.00,9.00%,4.00%,5.00,,,,,,,
Genesis Capital Ventures,Vanguard Growth Portfolio,17/06/2021,GBP,3000000.00,24.00%,39.00%,59.00%,1.00,10.00%,6.00%,6.00,,,,,,,
Vanguard Growth Fund,Vanguard Growth Portfolio,11/05/2021,GBP,1500000.00,21.00%,36.00%,42.00%,4.00,8.00%,7.00%,10.00,,,,,,,
Horizon Investment Group,Vanguard Growth Portfolio,10/05/2021,GBP,3000000.00,25.00%,32.00%,51.00%,5.00,12.00%,4.00%,6.00,,,,,,,
Summit Equity Holdings,Vanguard Growth Portfolio,03/05/2021,GBP,1500000.00,21.00%,32.00%,52.00%,3.00,11.00%,6.00%,7.00,,,,,,,
Aurora Capital Partners,Crestline Investment Portfolio,21/04/2021,GBP,1500000.00,23.00%,38.00%,58.00%,9.00,12.00%,5.00%,14.00,,,,,,,
Crestwood Investment Fund,Crestline Investment Portfolio,21/04/2021,GBP,3000000.00,22.00%,38.00%,55.00%,1.00,8.00%,4.00%,10.00,,,,,,,
Sterling Private Equity,Crestline Investment Portfolio,12/11/2020,GBP,12000000.00,20.00%,35.00%,49.00%,6.00,9.00%,5.00%,7.00,,,,,,,
Endeavor Capital Group,Crestline Investment Portfolio,03/02/2020,GBP,12000000.00,26.00%,36.00%,51.00%,1.00,10.00%,3.00%,10.00,,,,,,,
Legacy Growth Partners,Crestline Investment Portfolio,01/01/2019,GBP,5000000.00,29.00%,39.00%,57.00%,2.00,9.00%,5.00%,13.00,,,,,,,
Atlas Equity Ventures,Crestline Investment Portfolio,21/07/2016,GBP,800000.00,24.00%,37.00%,53.00%,3.00,12.00%,3.00%,12.00,,,,,,,
Apex Capital Holdings,Crestline Investment Portfolio,16/07/2012,GBP,800000.00,25.00%,33.00%,50.00%,5.00,10.00%,5.00%,10.00,,,,,,,
